Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1705,ICSI521,T,2,5,322,71,"4,5",34
1768,ISIA111,T,1,7,322,84,"6,7",60
1741,ISIA112,T,1,7,322,84,"10,11",59
1769,ISIA111,L,1,7,322,64,"12,13",30
1704,ICSI521,T,1,5,322,79,"15,16",34
1742,ISIA112,P,1,7,322,68,"25,26",59
1771,ISIA115,T,1,8,322,92,"31,32",38
1773,ISIA115,L,1,8,322,64,"34,35,36,37",30
-9,ISIA115,L,1,8,322,53,"49,50,51,52",8
1743,ISIA112,L,1,7,322,66,"54,55",30
1744,ISIA112,L,1,7,322,65,"66,67",29
1770,ISIA111,L,1,7,322,65,"78,79",30
1772,ISIA115,T,2,8,322,69,"81,82",37
1633,ICSI672,T,1,3,324,82,"4,5",43
1746,ISIA114,T,2,7,324,78,"10,11",42
1635,ICSI672,P,1,3,324,75,"12,13",43
1745,ISIA114,T,1,7,324,87,"42,43",43
1634,ICSI672,T,2,3,324,77,"63,64",42
1802,ICSI679,T,1,9,327,74,"62,63",42
1804,ICSI679,L,1,9,327,48,"77,78,79,80",20
1803,ICSI679,L,1,9,327,48,"81,82,83,84",20
1839,ISIA125,T,4,10,328,80,"3,4",16
1843,ISIA125,P,4,10,328,81,"6,7",16
1837,ISIA125,T,2,10,328,89,"14,15",17
1841,ISIA125,P,2,10,328,74,"33,34",17
1838,ISIA125,T,3,10,328,83,"50,51",16
1840,ISIA125,P,1,10,328,84,"61,62",17
1842,ISIA125,P,3,10,328,84,"63,64",16
1734,ICSI676,T,1,6,329,84,"3,4",60
1737,ICSI676,L,1,6,329,66,"5,6,7,8",30
1848,ICSI676,T,3,6,329,73,"9,10",19
1849,ICSI676,T,3,6,329,74,"13,14",19
-5,ICSI676,L,1,6,329,48,"17,18,19,20",10
-6,ICSI676,L,1,6,329,49,"34,35,36,37",10
1735,ICSI676,T,2,6,329,84,"49,50",60
1738,ICSI676,L,2,6,329,65,"51,52,53,54",30
1736,ICSI676,L,1,6,329,64,"57,58,59,60",30
1739,ICSI676,L,2,6,329,65,"70,71,72,73",30
1681,ISIA103,L,2,4,330,65,"7,8",30
1680,ISIA103,L,2,4,330,65,"30,31",30
1689,ISIA104,T,1,5,330,73,"38,39",60
1693,ISIA104,L,1,5,330,50,"41,42",17
1850,ISIA104,T,2,5,330,73,"52,53",10
1692,ISIA104,L,1,5,330,47,"54,55",17
1690,ISIA104,L,1,5,330,51,"65,66",18
1691,ISIA104,L,1,5,330,54,"73,74",18
1623,ICSI671,T,2,3,332,73,"61,62",39
1627,ICSI671,L,2,3,332,47,"65,66,67,68",17
1622,ICSI671,T,1,3,332,91,"71,72",39
1624,ICSI671,L,1,3,332,47,"77,78,79,80",17
1603,ICSI509,T,2,2,333,71,"12,13",52
1604,ICSI509,T,3,2,333,75,"34,35",51
1607,ICSI509,L,1,2,333,47,"50,51,52,53",17
1612,ICSI509,L,3,2,333,63,"69,70,71,72",17
1663,ISIA102,T,1,4,334,74,"6,7",60
1664,ISIA102,T,2,4,334,71,"9,10",60
1670,ISIA102,L,2,4,334,47,"11,12,13,14",13
1666,ISIA102,L,1,4,334,50,"18,19,20,21",14
1669,ISIA102,L,1,4,334,47,"23,24,25,26",13
1667,ISIA102,L,1,4,334,49,"29,30,31,32",14
1665,ISIA102,L,1,4,334,47,"34,35,36,37",14
1671,ISIA102,L,2,4,334,49,"38,39,40,41",13
1668,ISIA102,L,1,4,334,49,"51,52,53,54",13
1672,ISIA102,L,2,4,334,48,"66,67,68,69",13
1673,ISIA102,L,2,4,334,49,"75,76,77,78",13
1694,ISIA106A,T,1,5,335,70,"1,2",32
1695,ISIA106A,T,2,5,335,88,"34,35",31
1711,ISIA109,T,2,6,335,75,"61,62",52
1710,ISIA109,T,1,6,335,71,"63,64",52
1761,ISIA110,T,1,7,336,81,"3,4",33
1708,ICSI521,L,2,5,336,49,"6,7,8,9",17
1709,ICSI521,L,2,5,336,49,"11,12,13,14",17
1762,ISIA110,T,2,7,336,81,"15,16",33
1707,ICSI521,L,1,5,336,47,"17,18,19,20",17
1766,ISIA110,L,2,7,336,48,"25,26,27,28",18
1764,ISIA110,L,1,7,336,48,"29,30,31,32",18
1767,ISIA110,L,2,7,336,50,"34,35,36,37",18
1763,ISIA110,L,1,7,336,50,"45,46,47,48",18
1706,ICSI521,L,1,5,336,48,"49,50,51,52",17
1765,ISIA110,L,1,7,336,48,"61,62,63,64",18
1650,ICSI673,L,1,4,336,49,"66,67,68,69",18
1649,ICSI673,L,1,4,336,50,"76,77,78,79",18
1722,ISIA108,T,1,6,338,71,"25,26",50
1723,ISIA108,T,2,6,338,70,"27,28",50
1684,ISIA106,T,1,5,338,72,"34,35",33
1724,ISIA108,P,1,6,338,69,"38,39",50
1686,ISIA106,L,1,5,338,66,"45,46",22
1685,ISIA106,T,2,5,338,68,"47,48",32
1727,ISIA108,L,1,6,338,64,"53,54",25
1687,ISIA106,L,1,5,338,66,"61,62",22
1688,ISIA106,L,2,5,338,66,"63,64",21
1725,ISIA108,P,2,6,338,89,"76,77",50
1726,ISIA108,L,1,6,338,66,"78,79",25
1780,ICSI546,T,2,8,339,72,17,35
1782,ICSI546,P,2,8,339,70,"18,19",35
1798,ISIA120,T,1,9,339,69,"26,27",55
1610,ICSI509,L,2,2,339,50,"29,30,31,32",17
1605,ICSI509,L,1,2,339,48,"35,36,37,38",18
-14,ISIA120,L,1,9,339,66,"40,41,42,43",25
1611,ICSI509,L,3,2,339,48,"45,46,47,48",17
1554,ICSI506,L,2,1,339,50,"50,51,52,53",16
1553,ICSI506,L,2,1,339,47,"61,62,63,64",16
1800,ISIA120,L,1,9,339,64,"66,67,68,69",30
1775,ISIA116,T,1,8,339,74,"78,79",50
1779,ICSI546,T,1,8,339,68,80,35
1606,ICSI509,L,1,2,339,49,"82,83,84,85",18
1613,ICSI509,L,3,2,339,48,"86,87,88,89",17
1781,ICSI546,P,1,8,339,75,"93,94",35
1696,ISIA106A,P,1,5,340,78,"4,5",60
1698,ISIA106A,L,1,5,340,64,"6,7",21
1697,ISIA106A,L,1,5,340,66,"11,12",21
1851,ISIA106A,P,2,5,340,75,"49,50",3
1701,CIEN746,T,2,5,340,71,"61,62",32
1700,CIEN746,T,1,5,340,69,"63,64",33
1714,ISIA109,L,2,6,340,66,"66,67,68,69",26
1699,ISIA106A,L,2,5,340,66,"71,72",21
1712,ISIA109,L,1,6,340,66,"73,74,75,76",26
1702,CIEN746,P,1,5,340,68,"78,79",33
1659,ICSI674,T,1,4,341,83,"11,12",60
1660,ICSI674,T,2,4,341,80,"15,16",60
1602,ICSI509,T,1,2,341,86,"31,32",52
1810,ISIA127,P,1,10,341,82,"34,35,36,37",20
1662,ICSI674,P,2,4,341,69,"45,46",60
1661,ICSI674,P,1,4,341,68,"49,50",60
1811,ISIA127,L,1,10,341,52,"52,53,54,55",20
1609,ICSI509,L,2,2,341,50,"61,62,63,64",17
1608,ICSI509,L,2,2,341,53,"69,70,71,72",17
