Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1705,ICSI521,T,2,5,322,93,"2,3",34
1741,ISIA112,T,1,7,322,90,"4,5",59
1704,ICSI521,T,1,5,322,77,"17,18",34
1772,ISIA115,T,2,8,322,75,"21,22",37
1774,ISIA115,L,2,8,322,66,"24,25,26,27",30
-10,ISIA115,L,2,8,322,60,"29,30,31,32",7
1771,ISIA115,T,1,8,322,87,"54,55",38
-9,ISIA115,L,1,8,322,62,"58,59,60,61",8
1742,ISIA112,P,1,7,322,89,"67,68",59
1768,ISIA111,T,1,7,322,88,"70,71",60
1773,ISIA115,L,1,8,322,65,"74,75,76,77",30
1770,ISIA111,L,1,7,322,64,"79,80",30
1649,ICSI673,L,1,4,323,60,"77,78,79,80",18
1745,ISIA114,T,1,7,324,81,"1,2",43
1633,ICSI672,T,1,3,324,87,"3,4",43
1746,ISIA114,T,2,7,324,77,"19,20",42
1634,ICSI672,T,2,3,324,81,"30,31",42
1594,ADMI779,T,1,2,326,90,"18,19",49
1597,ADMI779,T,4,2,326,82,"20,21",48
1601,ADMI779,P,4,2,326,91,"22,23,24,25",48
1802,ICSI679,T,1,9,327,89,"30,31",42
1804,ICSI679,L,1,9,327,63,"87,88,89,90",20
1803,ICSI679,L,1,9,327,62,"91,92,93,94",20
1837,ISIA125,T,2,10,328,80,"2,3",17
1838,ISIA125,T,3,10,328,74,"4,5",16
1839,ISIA125,T,4,10,328,73,"8,9",16
1841,ISIA125,P,2,10,328,71,"18,19",17
1836,ISIA125,T,1,10,328,73,"21,22",17
1840,ISIA125,P,1,10,328,83,"29,30",17
1843,ISIA125,P,4,10,328,80,"66,67",16
1848,ICSI676,T,3,6,329,88,"2,3",19
1734,ICSI676,T,1,6,329,69,"4,5",60
1736,ICSI676,L,1,6,329,66,"6,7,8,9",30
-6,ICSI676,L,1,6,329,61,"11,12,13,14",10
1849,ICSI676,T,3,6,329,72,"20,21",19
-5,ICSI676,L,1,6,329,60,"33,34,35,36",10
1737,ICSI676,L,1,6,329,66,"40,41,42,43",30
1735,ICSI676,T,2,6,329,90,"67,68",60
1689,ISIA104,T,1,5,330,84,"1,2",60
1690,ISIA104,L,1,5,330,61,"3,4",18
1681,ISIA103,L,2,4,330,66,"17,18",30
1850,ISIA104,T,2,5,330,80,"31,32",10
1680,ISIA103,L,2,4,330,65,"36,37",30
1692,ISIA104,L,1,5,330,60,"38,39",17
1691,ISIA104,L,1,5,330,60,"41,42",18
1693,ISIA104,L,1,5,330,53,"68,69",17
1623,ICSI671,T,2,3,332,88,"17,18",39
1622,ICSI671,T,1,3,332,91,"19,20",39
1625,ICSI671,L,1,3,332,63,"21,22,23,24",17
1624,ICSI671,L,1,3,332,63,"29,30,31,32",17
1626,ICSI671,L,1,3,332,63,"54,55,56,57",17
1628,ICSI671,L,2,3,332,63,"65,66,67,68",17
1627,ICSI671,L,2,3,332,61,"72,73,74,75",17
1603,ICSI509,T,2,2,333,93,"18,19",52
1602,ICSI509,T,1,2,333,90,"21,22",52
1612,ICSI509,L,3,2,333,60,"23,24,25,26",17
1611,ICSI509,L,3,2,333,63,"69,70,71,72",17
1663,ISIA102,T,1,4,334,82,"2,3",60
1665,ISIA102,L,1,4,334,60,"4,5,6,7",14
1669,ISIA102,L,1,4,334,63,"13,14,15,16",13
1666,ISIA102,L,1,4,334,52,"23,24,25,26",14
1668,ISIA102,L,1,4,334,62,"50,51,52,53",13
1667,ISIA102,L,1,4,334,62,"54,55,56,57",14
1664,ISIA102,T,2,4,334,92,"72,73",60
1670,ISIA102,L,2,4,334,61,"77,78,79,80",13
1694,ISIA106A,T,1,5,335,89,"14,15",32
1710,ISIA109,T,1,6,335,87,"17,18",52
1695,ISIA106A,T,2,5,335,78,"19,20",31
1711,ISIA109,T,2,6,335,91,"29,30",52
1762,ISIA110,T,2,7,336,84,"3,4",33
1708,ICSI521,L,2,5,336,61,"5,6,7,8",17
1766,ISIA110,L,2,7,336,63,"9,10,11,12",18
1767,ISIA110,L,2,7,336,60,"13,14,15,16",18
1761,ISIA110,T,1,7,336,82,"18,19",33
1653,ICSI673,L,2,4,336,53,"22,23,24,25",17
1706,ICSI521,L,1,5,336,62,"26,27,28,29",17
1709,ICSI521,L,2,5,336,62,"38,39,40,41",17
1652,ICSI673,L,2,4,336,62,"43,44,45,46",17
1707,ICSI521,L,1,5,336,63,"50,51,52,53",17
1654,ICSI673,L,2,4,336,60,"54,55,56,57",17
1764,ISIA110,L,1,7,336,61,"58,59,60,61",18
1650,ICSI673,L,1,4,336,61,"65,66,67,68",18
1651,ICSI673,L,1,4,336,62,"70,71,72,73",18
1763,ISIA110,L,1,7,336,62,"74,75,76,77",18
1685,ISIA106,T,2,5,338,89,"17,18",32
1722,ISIA108,T,1,6,338,89,"19,20",50
1684,ISIA106,T,1,5,338,87,"22,23",33
1724,ISIA108,P,1,6,338,87,"24,25",50
1686,ISIA106,L,1,5,338,66,"30,31",22
1723,ISIA108,T,2,6,338,91,"54,55",50
1687,ISIA106,L,1,5,338,66,"66,67",22
1688,ISIA106,L,2,5,338,66,"69,70",21
1726,ISIA108,L,1,6,338,66,"72,73",25
1725,ISIA108,P,2,6,338,86,"76,77",50
1727,ISIA108,L,1,6,338,66,"78,79",25
1780,ICSI546,T,2,8,339,81,18,35
1606,ICSI509,L,1,2,339,62,"22,23,24,25",18
1605,ICSI509,L,1,2,339,61,"29,30,31,32",18
1779,ICSI546,T,1,8,339,92,33,35
1798,ISIA120,T,1,9,339,86,"34,35",55
1775,ISIA116,T,1,8,339,92,"36,37",50
1777,ISIA116,L,1,8,339,65,"38,39,40,41",30
1781,ICSI546,P,1,8,339,88,"45,46",35
1782,ICSI546,P,2,8,339,90,"50,51",35
1608,ICSI509,L,2,2,339,61,"53,54,55,56",17
1778,ISIA116,L,2,8,339,65,"58,59,60,61",30
1607,ICSI509,L,1,2,339,62,"65,66,67,68",17
1551,ICSI506,L,1,1,339,60,"70,71,72,73",16
1613,ICSI509,L,3,2,339,63,"77,78,79,80",17
1550,ICSI506,L,1,1,339,63,"83,84,85,86",16
1552,ICSI506,L,1,1,339,62,"87,88,89,90",16
1609,ICSI509,L,2,2,339,61,"91,92,93,94",17
1700,CIEN746,T,1,5,340,87,"19,20",33
1701,CIEN746,T,2,5,340,86,"22,23",32
1851,ISIA106A,P,2,5,340,81,"25,26",3
1696,ISIA106A,P,1,5,340,88,"35,36",60
1753,ISIA113,L,1,7,340,48,"41,42",2
1698,ISIA106A,L,1,5,340,65,"45,46",21
1699,ISIA106A,L,2,5,340,65,"47,48",21
1713,ISIA109,L,1,6,340,65,"49,50,51,52",26
1712,ISIA109,L,1,6,340,66,"53,54,55,56",26
1715,ISIA109,L,2,6,340,66,"58,59,60,61",26
1703,CIEN746,P,2,5,340,91,"67,68",32
1714,ISIA109,L,2,6,340,65,"70,71,72,73",26
1697,ISIA106A,L,1,5,340,66,"74,75",21
1702,CIEN746,P,1,5,340,89,"78,79",33
1660,ICSI674,T,2,4,341,86,"3,4",60
1810,ISIA127,P,1,10,341,90,"10,11,12,13",20
1604,ICSI509,T,3,2,341,92,"18,19",51
1610,ICSI509,L,2,2,341,61,"21,22,23,24",17
1659,ICSI674,T,1,4,341,89,"27,28",60
1661,ICSI674,P,1,4,341,91,"31,32",60
1811,ISIA127,L,1,10,341,61,"49,50,51,52",20
1662,ICSI674,P,2,4,341,86,"66,67",60
1842,ISIA125,P,3,10,342,78,"17,18",16
1793,ISIA117,P,3,8,342,69,"20,21",18
1830,ISIA126,T,1,10,342,93,23,50
1831,ISIA126,T,2,10,342,80,30,49
1833,ISIA126,P,1,10,342,89,"54,55,56,57",25
1832,ISIA126,P,1,10,342,78,"66,67,68,69",25
1834,ISIA126,P,2,10,342,77,"71,72,73,74",25
1835,ISIA126,P,2,10,342,87,"75,76,77,78",24
1824,ISIA124,T,1,10,344,83,2,38
1827,ISIA124,P,1,10,344,83,"4,5,6,7",19
1783,ICSI678,T,1,8,344,88,"20,21",60
1784,ICSI678,P,1,8,344,83,"22,23",60
1825,ISIA124,T,2,10,344,92,24,37
1785,ICSI678,L,1,8,344,64,"31,32",30
1829,ISIA124,P,2,10,344,89,"50,51,52,53",18
1828,ISIA124,P,2,10,344,90,"54,55,56,57",19
-13,ICSI678,L,1,8,344,64,"67,68",30
1826,ISIA124,P,1,10,344,83,"70,71,72,73",19
1822,ISIA132,P,1,10,344,92,"77,78,79,80",20
1648,ICSI673,T,2,4,346,93,"21,22",52
1647,ICSI673,T,1,4,346,68,"59,60",53
1808,ISIA122,P,1,9,349,79,"3,4,5,6",24
1748,ISIA114,L,1,7,349,66,"20,21",28
1749,ISIA114,L,2,7,349,66,"22,23",28
1747,ISIA114,L,1,7,349,64,"65,66",29
1809,ISIA122,P,1,9,349,82,"68,69,70,71",24
1756,ICSI677,T,2,7,350,80,"17,18",42
1755,ICSI677,T,1,7,350,81,"22,23",42
1757,ICSI677,L,1,7,350,65,"29,30,31,32",21
1758,ICSI677,L,1,7,350,65,"54,55,56,57",21
1759,ICSI677,L,2,7,350,65,"66,67,68,69",21
1760,ICSI677,L,2,7,350,64,"70,71,72,73",21
1563,ISIA100,T,1,1,351,88,"6,7",40
1564,ISIA100,T,2,1,351,88,"8,9",40
1596,ADMI779,T,3,2,351,80,"21,22",48
1595,ADMI779,T,2,2,351,88,"30,31",48
1599,ADMI779,P,2,2,351,84,"65,66,67,68",48
1598,ADMI779,P,1,2,351,89,"70,71,72,73",49
1600,ADMI779,P,3,2,351,89,"86,87,88,89",48
1565,ISIA100,P,1,1,354,88,"54,55,56,57",40
1566,ISIA100,P,2,1,354,93,"65,66,67,68",40
1675,ISIA103,T,2,4,355,86,"6,7",60
1677,ISIA103,P,2,4,355,93,"13,14",60
1674,ISIA103,T,1,4,355,80,"38,39",60
1636,ICSI672,P,2,3,355,92,"70,71",42
1640,ICSI672,L,2,3,355,66,"84,85",21
1639,ICSI672,L,2,3,355,65,"86,87",21
1676,ISIA103,P,1,4,355,93,"89,90",60
1635,ICSI672,P,1,3,355,87,"95,96",43
1751,ISIA113,T,2,7,356,79,"1,2",35
1790,ISIA117,T,3,8,356,77,"4,5",18
1750,ISIA113,T,1,7,356,88,"13,14",35
1789,ISIA117,T,2,8,356,80,"19,20",18
1752,ISIA113,L,1,7,356,54,"24,25",2
1754,ISIA113,L,2,7,356,60,"51,52",1
1788,ISIA117,T,1,8,356,92,"65,66",19
1792,ISIA117,P,2,8,356,77,"67,68",18
1791,ISIA117,P,1,8,356,87,"72,73",19
1805,ISIA123,T,1,9,356,69,"76,77",42
1546,ICSI506,T,1,1,357,86,"19,20",40
1548,ICSI506,P,1,1,357,88,"65,66,67,68",40
1776,ISIA116,T,2,8,358,78,"3,4",50
-12,ISIA116,L,2,8,358,52,"12,13,14,15",20
1717,ISIA107,T,2,6,358,91,"17,18",60
1716,ISIA107,T,1,6,358,87,"29,30",60
-4,ISIA107,L,2,6,358,63,"33,34,35,36",15
1721,ISIA107,L,2,6,358,66,"45,46,47,48",30
1720,ISIA107,L,2,6,358,66,"49,50,51,52",30
-2,ISIA107,L,1,6,358,60,"65,66,67,68",15
1846,ISIA107,T,3,6,358,86,"79,80",30
-1,ISIA107,L,1,6,358,61,"82,83,84,85",15
1718,ISIA107,L,1,6,358,66,"86,87,88,89",30
1847,ISIA107,T,3,6,358,87,"90,91",30
1719,ISIA107,L,1,6,358,66,"92,93,94,95",30
1618,ISIA101,T,1,3,360,77,"1,2",40
