Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1705,ICSI521,T,2,5,322,75,"13,14",34
1768,ISIA111,T,1,7,322,75,"15,16",60
1770,ISIA111,L,1,7,322,64,"30,31",30
1769,ISIA111,L,1,7,322,64,"33,34",30
1704,ICSI521,T,1,5,322,70,"36,37",34
1771,ISIA115,T,1,8,322,84,"47,48",38
1772,ISIA115,T,2,8,322,83,"50,51",37
1741,ISIA112,T,1,7,322,72,"53,54",59
1774,ISIA115,L,2,8,322,66,"57,58,59,60",30
1742,ISIA112,P,1,7,322,69,"63,64",59
1744,ISIA112,L,1,7,322,66,"67,68",29
-9,ISIA115,L,1,8,322,63,"70,71,72,73",8
1743,ISIA112,L,1,7,322,64,"77,78",30
1745,ISIA114,T,1,7,324,89,"35,36",43
1634,ICSI672,T,2,3,324,90,"38,39",42
1633,ICSI672,T,1,3,324,88,"46,47",43
1746,ISIA114,T,2,7,324,89,"50,51",42
1802,ICSI679,T,1,9,327,86,"45,46",42
1803,ICSI679,L,1,9,327,63,"83,84,85,86",20
1804,ICSI679,L,1,9,327,47,"93,94,95,96",20
1837,ISIA125,T,2,10,328,81,"45,46",17
1838,ISIA125,T,3,10,328,86,"47,48",16
1840,ISIA125,P,1,10,328,75,"68,69",17
1842,ISIA125,P,3,10,328,89,"81,82",16
1839,ISIA125,T,4,10,328,88,"85,86",16
1843,ISIA125,P,4,10,328,93,"87,88",16
1841,ISIA125,P,2,10,328,83,"93,94",17
1734,ICSI676,T,1,6,329,72,"1,2",60
-6,ICSI676,L,1,6,329,49,"5,6,7,8",10
-5,ICSI676,L,1,6,329,48,"9,10,11,12",10
1735,ICSI676,T,2,6,329,69,"13,14",60
1849,ICSI676,T,3,6,329,92,"17,18",19
1737,ICSI676,L,1,6,329,64,"19,20,21,22",30
1739,ICSI676,L,2,6,329,64,"24,25,26,27",30
1848,ICSI676,T,3,6,329,69,"36,37",19
1738,ICSI676,L,2,6,329,65,"40,41,42,43",30
1736,ICSI676,L,1,6,329,65,"54,55,56,57",30
-8,ICSI676,L,2,6,329,49,"71,72,73,74",9
1850,ISIA104,T,2,5,330,92,"33,34",10
1689,ISIA104,T,1,5,330,73,"39,40",60
1691,ISIA104,L,1,5,330,47,"51,52",18
1692,ISIA104,L,1,5,330,53,"59,60",17
1690,ISIA104,L,1,5,330,48,"61,62",18
1693,ISIA104,L,1,5,330,48,"74,75",17
1622,ICSI671,T,1,3,332,69,"34,35",39
1624,ICSI671,L,1,3,332,50,"36,37,38,39",17
1625,ICSI671,L,1,3,332,61,"51,52,53,54",17
1626,ICSI671,L,1,3,332,48,"56,57,58,59",17
1623,ICSI671,T,2,3,332,92,"62,63",39
1627,ICSI671,L,2,3,332,61,"65,66,67,68",17
1628,ICSI671,L,2,3,332,60,"77,78,79,80",17
1604,ICSI509,T,3,2,333,71,"34,35",51
1612,ICSI509,L,3,2,333,49,"36,37,38,39",17
1602,ICSI509,T,1,2,333,73,"46,47",52
1663,ISIA102,T,1,4,334,69,"41,42",60
1664,ISIA102,T,2,4,334,71,"47,48",60
1670,ISIA102,L,2,4,334,49,"53,54,55,56",13
1671,ISIA102,L,2,4,334,54,"58,59,60,61",13
1673,ISIA102,L,2,4,334,63,"66,67,68,69",13
1665,ISIA102,L,1,4,334,61,"70,71,72,73",14
1672,ISIA102,L,2,4,334,49,"77,78,79,80",13
1711,ISIA109,T,2,6,335,68,"1,2",52
1694,ISIA106A,T,1,5,335,70,"13,14",32
1695,ISIA106A,T,2,5,335,78,"35,36",31
1710,ISIA109,T,1,6,335,87,"62,63",52
1762,ISIA110,T,2,7,336,77,"3,4",33
1766,ISIA110,L,2,7,336,49,"13,14,15,16",18
1767,ISIA110,L,2,7,336,60,"17,18,19,20",18
1709,ICSI521,L,2,5,336,49,"29,30,31,32",17
1652,ICSI673,L,2,4,336,47,"33,34,35,36",17
1653,ICSI673,L,2,4,336,47,"37,38,39,40",17
1707,ICSI521,L,1,5,336,50,"42,43,44,45",17
1761,ISIA110,T,1,7,336,68,"46,47",33
1763,ISIA110,L,1,7,336,49,"49,50,51,52",18
1706,ICSI521,L,1,5,336,50,"53,54,55,56",17
1708,ICSI521,L,2,5,336,50,"57,58,59,60",17
1649,ICSI673,L,1,4,336,50,"61,62,63,64",18
1651,ICSI673,L,1,4,336,62,"66,67,68,69",18
1654,ICSI673,L,2,4,336,50,"70,71,72,73",17
1650,ICSI673,L,1,4,336,47,"74,75,76,77",18
1722,ISIA108,T,1,6,338,82,"17,18",50
1723,ISIA108,T,2,6,338,90,"29,30",50
1684,ISIA106,T,1,5,338,70,"34,35",33
1724,ISIA108,P,1,6,338,74,"38,39",50
1727,ISIA108,L,1,6,338,64,"42,43",25
1725,ISIA108,P,2,6,338,68,"44,45",50
1687,ISIA106,L,1,5,338,64,"46,47",22
1685,ISIA106,T,2,5,338,72,"49,50",32
