Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1566,ISIA100,P,2,1,354,69,"69,70,71,72",40
1675,ISIA103,T,2,4,355,74,"10,11",60
1677,ISIA103,P,2,4,355,74,"13,14",60
1635,ICSI672,P,1,3,355,70,"30,31",43
1674,ISIA103,T,1,4,355,79,"33,34",60
1638,ICSI672,L,1,3,355,64,"39,40",21
1636,ICSI672,P,2,3,355,72,"42,43",42
1781,ICSI546,P,1,8,355,68,"57,58",35
1637,ICSI672,L,1,3,355,64,"69,70",22
1640,ICSI672,L,2,3,355,65,"90,91",21
1639,ICSI672,L,2,3,355,66,"92,93",21
1676,ISIA103,P,1,4,355,80,"95,96",60
1750,ISIA113,T,1,7,356,75,"13,14",35
1751,ISIA113,T,2,7,356,81,"25,26",35
1805,ISIA123,T,1,9,356,68,"31,32",42
1807,ISIA123,P,1,9,356,68,"51,52,53,54",21
1754,ISIA113,L,2,7,356,51,"56,57",1
1753,ISIA113,L,1,7,356,63,"60,61",2
1806,ISIA123,P,1,9,356,70,"71,72,73,74",21
1547,ICSI506,T,2,1,357,74,"35,36",40
1549,ICSI506,P,2,1,357,73,"49,50,51,52",40
1546,ICSI506,T,1,1,357,69,"65,66",40
1846,ISIA107,T,3,6,358,75,"28,29",30
1847,ISIA107,T,3,6,358,71,"31,32",30
1717,ISIA107,T,2,6,358,71,"33,34",60
1716,ISIA107,T,1,6,358,68,"44,45",60
-4,ISIA107,L,2,6,358,49,"61,62,63,64",15
1719,ISIA107,L,1,6,358,64,"65,66,67,68",30
-2,ISIA107,L,1,6,358,48,"81,82,83,84",15
1718,ISIA107,L,1,6,358,66,"88,89,90,91",30
1721,ISIA107,L,2,6,358,64,"93,94,95,96",30
1618,ISIA101,T,1,3,360,73,"11,12",40
1620,ISIA101,P,1,3,360,75,"23,24,25",40
1619,ISIA101,T,2,3,360,82,"34,35",40
1621,ISIA101,P,2,3,360,81,"59,60,61",40
1814,ISIA129,P,1,10,361,79,"41,42,43,44",20
1815,ISIA129,L,1,10,361,49,"93,94,95,96",20
1580,HUMA1181,T,1,2,362,72,"23,24",60
1582,HUMA1181,T,3,2,362,72,"34,35",60
1581,HUMA1181,T,2,2,362,69,"38,39",60
1583,HUMA1181,P,1,2,362,90,"51,52",60
1584,HUMA1181,P,2,2,362,75,"70,71",60
1585,HUMA1181,P,3,2,362,70,"87,88",60
1588,CIEN768,T,3,2,363,91,"7,8",58
1592,CIEN768,P,3,2,363,70,"12,13,14,15",58
1586,CIEN768,T,1,2,363,73,"33,34",58
1589,CIEN768,T,4,2,363,69,"43,44",58
1593,CIEN768,P,4,2,363,72,"56,57,58,59",58
1587,CIEN768,T,2,2,363,70,"89,90",58
1590,CIEN768,P,1,2,363,68,"91,92,93,94",58
1629,CIEN769,T,1,3,364,74,"37,38",55
1630,CIEN769,P,1,3,364,75,"45,46,47,48",55
1631,CIEN769,L,1,3,364,64,"89,90,91,92",28
1632,CIEN769,L,1,3,364,65,"93,94,95,96",27
1682,HUMA1183,T,1,4,365,73,42,60
1683,HUMA1183,P,1,4,365,74,"45,46",60
1844,HUMA1183,T,2,4,365,71,87,60
1845,HUMA1183,P,2,4,365,73,"94,95",60
1786,ISIA118,T,1,8,366,75,"88,89",30
