Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1833,ISIA126,PRACTICA,1,10,322,82,1,25
1603,ICSI509,TEORIA,2,2,322,87,3,52
1605,ICSI509,LABORATORIO,1,2,322,92,4,18
1832,ISIA126,PRACTICA,1,10,322,90,6,25
1834,ISIA126,PRACTICA,2,10,322,87,7,25
1602,ICSI509,TEORIA,1,2,322,77,9,52
1786,ISIA118,TEORIA,1,8,322,93,12,30
1610,ICSI509,LABORATORIO,2,2,322,88,27,17
1741,ISIA112,TEORIA,1,7,322,87,29,59
1705,ICSI521,TEORIA,2,5,322,77,30,34
1716,ISIA107,TEORIA,1,6,322,104,31,90
1706,ICSI521,LABORATORIO,1,5,322,77,32,17
1732,HUMA1185,PRACTICA,1,6,322,74,40,50
1707,ICSI521,LABORATORIO,1,5,322,80,76,17
1708,ICSI521,LABORATORIO,2,5,322,81,77,17
1609,ICSI509,LABORATORIO,2,2,322,88,78,17
1704,ICSI521,TEORIA,1,5,322,93,83,34
1743,ISIA112,LABORATORIO,1,7,322,91,84,30
1709,ICSI521,LABORATORIO,2,5,322,81,85,17
1787,ISIA118,PRACTICA,1,8,322,80,87,30
1742,ISIA112,PRACTICA,1,7,322,91,91,59
1830,ISIA126,TEORIA,1,10,322,87,92,50
1733,HUMA1185,PRACTICA,2,6,322,91,95,50
1730,HUMA1185,TEORIA,1,6,322,87,96,50
1647,ICSI673,TEORIA,1,4,323,93,4,53
1649,ICSI673,LABORATORIO,1,4,323,87,13,18
1654,ICSI673,LABORATORIO,2,4,323,72,26,17
1650,ICSI673,LABORATORIO,1,4,323,90,31,18
1653,ICSI673,LABORATORIO,2,4,323,91,77,17
1651,ICSI673,LABORATORIO,1,4,323,91,80,18
1652,ICSI673,LABORATORIO,2,4,323,80,84,17
1648,ICSI673,TEORIA,2,4,323,93,96,52
1817,ISIA131,LABORATORIO,1,10,325,87,11,20
1682,HUMA1183,TEORIA,1,4,325,105,32,120
1816,ISIA131,PRACTICA,1,10,325,90,85,20
1683,HUMA1183,PRACTICA,1,4,325,104,95,120
1751,ISIA113,TEORIA,2,7,327,93,1,35
1836,ISIA125,TEORIA,1,10,327,88,3,17
1838,ISIA125,TEORIA,3,10,327,81,4,16
1752,ISIA113,LABORATORIO,1,7,327,72,9,2
1754,ISIA113,LABORATORIO,2,7,327,89,12,1
1623,ICSI671,TEORIA,2,3,327,93,13,39
1628,ICSI671,LABORATORIO,2,3,327,77,14,17
1626,ICSI671,LABORATORIO,1,3,327,78,15,17
1842,ISIA125,PRACTICA,3,10,327,88,16,16
1744,ISIA112,LABORATORIO,1,7,327,64,17,29
1753,ISIA113,LABORATORIO,1,7,327,79,22,2
1624,ICSI671,LABORATORIO,1,3,327,82,25,17
1803,ICSI679,LABORATORIO,1,9,327,86,30,20
1765,ISIA110,LABORATORIO,1,7,327,83,59,18
1841,ISIA125,PRACTICA,2,10,327,73,76,17
1837,ISIA125,TEORIA,2,10,327,86,77,17
1840,ISIA125,PRACTICA,1,10,327,68,79,17
1843,ISIA125,PRACTICA,4,10,327,87,80,16
1625,ICSI671,LABORATORIO,1,3,327,88,82,17
1804,ICSI679,LABORATORIO,1,9,327,87,83,20
1701,CIEN746,TEORIA,2,5,327,86,84,32
1627,ICSI671,LABORATORIO,2,3,327,84,86,17
1702,CIEN746,PRACTICA,1,5,327,88,88,33
1703,CIEN746,PRACTICA,2,5,327,81,92,32
1750,ISIA113,TEORIA,1,7,327,81,93,35
1802,ICSI679,TEORIA,1,9,327,77,94,42
1622,ICSI671,TEORIA,1,3,327,90,95,39
1700,CIEN746,TEORIA,1,5,327,91,96,33
1562,HUMA1179,PRACTICA,2,1,329,83,16,40
1690,ISIA104,LABORATORIO,1,5,330,89,29,18
1692,ISIA104,LABORATORIO,1,5,330,93,78,17
1693,ISIA104,LABORATORIO,1,5,330,86,81,17
1691,ISIA104,LABORATORIO,1,5,330,93,86,18
1689,ISIA104,TEORIA,1,5,330,106,91,70
1739,ICSI676,LABORATORIO,2,6,332,91,1,39
1737,ICSI676,LABORATORIO,1,6,332,90,26,40
1736,ICSI676,LABORATORIO,1,6,332,77,29,40
1588,CIEN768,TEORIA,3,2,332,89,71,58
1734,ICSI676,TEORIA,1,6,332,106,77,79
1738,ICSI676,LABORATORIO,2,6,332,93,89,39
1735,ICSI676,TEORIA,2,6,332,106,94,79
1698,ISIA106A,LABORATORIO,1,5,335,86,11,21
1697,ISIA106A,LABORATORIO,1,5,335,88,12,21
1696,ISIA106A,PRACTICA,1,5,335,106,15,63
1711,ISIA109,TEORIA,2,6,335,87,30,52
1713,ISIA109,LABORATORIO,1,6,335,80,78,26
1710,ISIA109,TEORIA,1,6,335,92,79,52
1714,ISIA109,LABORATORIO,2,6,335,77,85,26
1694,ISIA106A,TEORIA,1,5,335,86,87,32
1715,ISIA109,LABORATORIO,2,6,335,89,88,26
1699,ISIA106A,LABORATORIO,2,5,335,79,90,21
1660,ICSI674,TEORIA,2,4,336,90,11,60
1661,ICSI674,PRACTICA,1,4,336,90,78,60
1659,ICSI674,TEORIA,1,4,336,87,91,60
1662,ICSI674,PRACTICA,2,4,336,81,94,60
1688,ISIA106,LABORATORIO,2,5,338,77,1,21
1687,ISIA106,LABORATORIO,1,5,338,91,6,22
1685,ISIA106,TEORIA,2,5,338,90,79,32
1684,ISIA106,TEORIA,1,5,338,90,93,33
1686,ISIA106,LABORATORIO,1,5,338,78,94,22
1725,ISIA108,PRACTICA,2,6,339,90,2,50
1613,ICSI509,LABORATORIO,3,2,339,92,7,17
1608,ICSI509,LABORATORIO,2,2,339,80,10,17
1727,ISIA108,LABORATORIO,1,6,339,89,14,25
1723,ISIA108,TEORIA,2,6,339,86,16,50
1611,ICSI509,LABORATORIO,3,2,339,80,24,17
1728,ISIA108,LABORATORIO,2,6,339,89,32,25
1612,ICSI509,LABORATORIO,3,2,339,93,60,17
1559,HUMA1179,TEORIA,1,1,339,86,80,40
1729,ISIA108,LABORATORIO,2,6,339,87,84,25
1722,ISIA108,TEORIA,1,6,339,91,86,50
1607,ICSI509,LABORATORIO,1,2,339,93,87,17
1606,ICSI509,LABORATORIO,1,2,339,90,88,18
1726,ISIA108,LABORATORIO,1,6,339,89,91,25
1724,ISIA108,PRACTICA,1,6,339,79,92,50
1560,HUMA1179,TEORIA,2,1,339,87,93,40
1712,ISIA109,LABORATORIO,1,6,340,105,27,26
1669,ISIA102,LABORATORIO,1,4,342,90,3,13
1670,ISIA102,LABORATORIO,2,4,342,91,9,13
1673,ISIA102,LABORATORIO,2,4,342,88,10,13
1672,ISIA102,LABORATORIO,2,4,342,90,15,13
1671,ISIA102,LABORATORIO,2,4,342,78,59,13
1667,ISIA102,LABORATORIO,1,4,342,89,82,14
1666,ISIA102,LABORATORIO,1,4,342,77,83,14
1668,ISIA102,LABORATORIO,1,4,342,66,85,13
1663,ISIA102,TEORIA,1,4,342,92,88,60
1664,ISIA102,TEORIA,2,4,342,79,89,60
1665,ISIA102,LABORATORIO,1,4,342,90,90,14
1835,ISIA126,PRACTICA,2,10,342,81,95,24
1831,ISIA126,TEORIA,2,10,342,88,96,49
1827,ISIA124,PRACTICA,1,10,344,83,2,19
1829,ISIA124,PRACTICA,2,10,344,86,12,18
1824,ISIA124,TEORIA,1,10,344,86,31,38
1822,ISIA132,PRACTICA,1,10,344,91,32,20
1828,ISIA124,PRACTICA,2,10,344,82,84,19
1823,ISIA132,LABORATORIO,1,10,344,83,90,20
1783,ICSI678,TEORIA,1,8,344,91,92,60
1825,ISIA124,TEORIA,2,10,344,80,94,37
1582,HUMA1181,TEORIA,3,2,349,88,1,60
1583,HUMA1181,PRACTICA,1,2,349,92,14,60
1584,HUMA1181,PRACTICA,2,2,349,88,32,60
1806,ISIA123,PRACTICA,1,9,349,92,85,21
1808,ISIA122,PRACTICA,1,9,349,78,86,24
1581,HUMA1181,TEORIA,2,2,349,78,91,60
1805,ISIA123,TEORIA,1,9,349,91,93,42
1585,HUMA1181,PRACTICA,3,2,349,91,94,60
1809,ISIA122,PRACTICA,1,9,349,78,96,24
1839,ISIA125,TEORIA,4,10,350,84,83,16
1565,ISIA100,PRACTICA,1,1,351,91,3,40
1566,ISIA100,PRACTICA,2,1,351,87,4,40
1564,ISIA100,TEORIA,2,1,351,90,5,40
1601,ADMI779,PRACTICA,4,2,351,87,6,48
1597,ADMI779,TEORIA,4,2,351,91,8,48
1595,ADMI779,TEORIA,2,2,351,93,11,48
1596,ADMI779,TEORIA,3,2,351,88,13,48
1599,ADMI779,PRACTICA,2,2,351,84,15,48
1598,ADMI779,PRACTICA,1,2,351,89,28,49
1563,ISIA100,TEORIA,1,1,351,91,79,40
1594,ADMI779,TEORIA,1,2,351,89,89,49
1600,ADMI779,PRACTICA,3,2,351,83,95,48
1573,CIEN754,TEORIA,3,2,353,89,2,53
1614,CIEN755,TEORIA,1,3,353,89,4,35
1576,CIEN754,PRACTICA,3,2,353,93,5,53
1658,HUMA1184,PRACTICA,2,4,353,92,6,60
1821,ISIA130,LABORATORIO,1,10,353,86,10,20
1797,ISIA119,LABORATORIO,2,9,353,83,13,0
1557,CIEN753,PRACTICA,1,1,353,86,15,40
1575,CIEN754,PRACTICA,2,2,353,91,16,53
1812,ISIA128,PRACTICA,1,10,353,89,27,20
1558,CIEN753,PRACTICA,2,1,353,87,28,40
1656,HUMA1184,TEORIA,2,4,353,93,29,60
1542,CIEN752,TEORIA,1,1,353,78,30,40
