Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1845,HUMA1183,P,2,4,365,75,"9,10",60
1786,ISIA118,T,1,8,366,72,"12,13",30
1787,ISIA118,P,1,8,366,72,"18,19",30
1567,HUMA900,T,1,1,368,71,12,40
1568,HUMA900,T,2,1,368,83,14,40
1569,HUMA900,P,1,1,368,91,"17,18",40
1570,HUMA900,P,2,1,368,79,"66,67",40
1596,ADMI779,T,3,2,369,80,"1,2",48
1600,ADMI779,P,3,2,369,72,"3,4,5,6",48
1595,ADMI779,T,2,2,370,93,"8,9",48
1599,ADMI779,P,2,2,370,88,"11,12,13,14",48
1555,CIEN753,T,1,1,372,77,"4,5",40
1556,CIEN753,T,2,1,372,80,"8,9",40
1557,CIEN753,P,1,1,372,75,"13,14,15,16",40
1571,CIEN754,T,1,2,372,82,"25,26",53
1574,CIEN754,P,1,2,372,69,"27,28,29,30",53
1558,CIEN753,P,2,1,372,71,"33,34,35,36",40
1572,CIEN754,T,2,2,373,93,"3,4",53
1573,CIEN754,T,3,2,373,82,"9,10",53
1576,CIEN754,P,3,2,373,86,"12,13,14,15",53
1575,CIEN754,P,2,2,373,93,"17,18,19,20",53
1560,HUMA1179,T,2,1,374,79,"5,6",40
1559,HUMA1179,T,1,1,374,78,"19,20",40
1561,HUMA1179,P,1,1,374,84,"21,22,23,24",40
1578,HUMA1180,P,2,2,374,81,"25,26,27,28",60
1579,HUMA1180,P,3,2,374,82,"29,30,31,32",60
1562,HUMA1179,P,2,1,374,92,"37,38,39,40",40
1577,HUMA1180,P,1,2,374,68,"52,53,54,55",60
1731,HUMA1185,T,2,6,375,69,"2,3",50
1733,HUMA1185,P,2,6,375,78,"5,6",50
1730,HUMA1185,T,1,6,375,90,"23,24",50
1732,HUMA1185,P,1,6,375,79,"27,28",50
1642,HUMA1182,T,2,3,376,68,2,27
1641,HUMA1182,T,1,3,376,89,3,27
1643,HUMA1182,T,3,3,376,88,5,26
1644,HUMA1182,P,1,3,376,90,"6,7",27
1646,HUMA1182,P,3,3,376,74,"8,9",26
1645,HUMA1182,P,2,3,376,93,"10,11",27
1816,ISIA131,P,1,10,377,87,"66,67,68,69",20
1817,ISIA131,L,1,10,377,54,"89,90,91,92",20
1543,CIEN752,T,2,1,378,84,"3,4",40
1542,CIEN752,T,1,1,378,92,"6,7",40
1544,CIEN752,P,1,1,378,68,"8,9,10,11",40
1545,CIEN752,P,2,1,378,70,"17,18,19,20",40
1615,CIEN755,T,2,3,378,81,"30,31",34
1614,CIEN755,T,1,3,378,77,"33,34",35
1616,CIEN755,P,1,3,378,92,"43,44,45,46",35
1617,CIEN755,P,2,3,378,80,"90,91,92,93",34
1656,HUMA1184,T,2,4,379,91,"4,5",60
1658,HUMA1184,P,2,4,379,70,"12,13",60
1655,HUMA1184,T,1,4,379,73,"17,18",60
1657,HUMA1184,P,1,4,379,91,"20,21",60
