Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1772,ISIA115,T,2,8,322,92,"17,18",37
1705,ICSI521,T,2,5,322,71,"20,21",34
1774,ISIA115,L,2,8,322,65,"24,25,26,27",30
1771,ISIA115,T,1,8,322,83,"50,51",38
1773,ISIA115,L,1,8,322,65,"52,53,54,55",30
-9,ISIA115,L,1,8,322,47,"56,57,58,59",8
1741,ISIA112,T,1,7,322,69,"67,68",59
1704,ICSI521,T,1,5,322,73,"71,72",34
-10,ISIA115,L,2,8,322,54,"74,75,76,77",7
1768,ISIA111,T,1,7,322,68,"79,80",60
1769,ISIA111,L,1,7,322,64,"81,82",30
1653,ICSI673,L,2,4,323,49,"77,78,79,80",17
1745,ISIA114,T,1,7,324,71,"4,5",43
1633,ICSI672,T,1,3,324,77,"18,19",43
1746,ISIA114,T,2,7,324,70,"22,23",42
1634,ICSI672,T,2,3,324,78,"66,67",42
1598,ADMI779,P,1,2,326,74,"18,19,20,21",49
1601,ADMI779,P,4,2,326,77,"68,69,70,71",48
1802,ICSI679,T,1,9,327,72,"76,77",42
1804,ICSI679,L,1,9,327,49,"81,82,83,84",20
1803,ICSI679,L,1,9,327,50,"90,91,92,93",20
1839,ISIA125,T,4,10,328,80,"66,67",16
1838,ISIA125,T,3,10,328,81,"71,72",16
1843,ISIA125,P,4,10,328,84,"79,80",16
1836,ISIA125,T,1,10,328,89,"83,84",17
1840,ISIA125,P,1,10,328,69,"94,95",17
1734,ICSI676,T,1,6,329,72,"17,18",60
1735,ICSI676,T,2,6,329,68,"23,24",60
-6,ICSI676,L,1,6,329,49,"35,36,37,38",10
1737,ICSI676,L,1,6,329,66,"39,40,41,42",30
1849,ICSI676,T,3,6,329,92,"49,50",19
1736,ICSI676,L,1,6,329,66,"54,55,56,57",30
1848,ICSI676,T,3,6,329,81,"66,67",19
1689,ISIA104,T,1,5,330,81,"18,19",60
1691,ISIA104,L,1,5,330,49,"20,21",18
1690,ISIA104,L,1,5,330,51,"23,24",18
1678,ISIA103,L,1,4,330,64,"27,28",30
1679,ISIA103,L,1,4,330,64,"36,37",30
1693,ISIA104,L,1,5,330,50,"69,70",17
1692,ISIA104,L,1,5,330,48,"73,74",17
1850,ISIA104,T,2,5,330,81,"78,79",10
1622,ICSI671,T,1,3,332,71,"65,66",39
1624,ICSI671,L,1,3,332,48,"68,69,70,71",17
1623,ICSI671,T,2,3,332,70,"72,73",39
1625,ICSI671,L,1,3,332,47,"74,75,76,77",17
1604,ICSI509,T,3,2,333,75,"17,18",51
1602,ICSI509,T,1,2,333,71,"23,24",52
1603,ICSI509,T,2,2,333,72,"65,66",52
1554,ICSI506,L,2,1,333,47,"67,68,69,70",16
1664,ISIA102,T,2,4,334,82,"18,19",60
1670,ISIA102,L,2,4,334,48,"26,27,28,29",13
1672,ISIA102,L,2,4,334,50,"34,35,36,37",13
1671,ISIA102,L,2,4,334,50,"40,41,42,43",13
1673,ISIA102,L,2,4,334,48,"44,45,46,47",13
1663,ISIA102,T,1,4,334,79,"50,51",60
1666,ISIA102,L,1,4,334,48,"53,54,55,56",14
1667,ISIA102,L,1,4,334,50,"57,58,59,60",14
1665,ISIA102,L,1,4,334,50,"61,62,63,64",14
1695,ISIA106A,T,2,5,335,74,"2,3",31
1694,ISIA106A,T,1,5,335,74,"14,15",32
1710,ISIA109,T,1,6,335,72,"19,20",52
