Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1772,ISIA115,T,2,8,322,74,"3,4",37
1705,ICSI521,T,2,5,322,80,"6,7",34
1771,ISIA115,T,1,8,322,92,"8,9",38
-9,ISIA115,L,1,8,322,48,"11,12,13,14",8
1704,ICSI521,T,1,5,322,91,"18,19",34
1768,ISIA111,T,1,7,322,84,"21,22",60
1770,ISIA111,L,1,7,322,64,"24,25",30
1769,ISIA111,L,1,7,322,65,"26,27",30
1774,ISIA115,L,2,8,322,64,"29,30,31,32",30
-10,ISIA115,L,2,8,322,48,"33,34,35,36",7
1741,ISIA112,T,1,7,322,91,"37,38",59
1742,ISIA112,P,1,7,322,84,"39,40",59
1743,ISIA112,L,1,7,322,66,"45,46",30
1744,ISIA112,L,1,7,322,65,"56,57",29
1773,ISIA115,L,1,8,322,64,"58,59,60,61",30
1652,ICSI673,L,2,4,323,52,"29,30,31,32",17
1654,ICSI673,L,2,4,323,47,"61,62,63,64",17
1653,ICSI673,L,2,4,323,53,"77,78,79,80",17
1634,ICSI672,T,2,3,324,72,"1,2",42
1746,ISIA114,T,2,7,324,88,"12,13",42
1633,ICSI672,T,1,3,324,80,"15,16",43
1745,ISIA114,T,1,7,324,82,"17,18",43
1635,ICSI672,P,1,3,324,89,"61,62",43
1594,ADMI779,T,1,2,326,89,"2,3",49
1598,ADMI779,P,1,2,326,78,"4,5,6,7",49
1802,ICSI679,T,1,9,327,77,"10,11",42
1804,ICSI679,L,1,9,327,51,"12,13,14,15",20
1803,ICSI679,L,1,9,327,47,"25,26,27,28",20
1838,ISIA125,T,3,10,328,82,"2,3",16
1842,ISIA125,P,3,10,328,90,"9,10",16
1836,ISIA125,T,1,10,328,70,"18,19",17
1840,ISIA125,P,1,10,328,86,"24,25",17
1839,ISIA125,T,4,10,328,89,"28,29",16
1843,ISIA125,P,4,10,328,77,"36,37",16
1735,ICSI676,T,2,6,329,79,"1,2",60
1738,ICSI676,L,2,6,329,64,"3,4,5,6",30
1739,ICSI676,L,2,6,329,64,"8,9,10,11",30
1849,ICSI676,T,3,6,329,83,"12,13",19
1734,ICSI676,T,1,6,329,71,"25,26",60
-8,ICSI676,L,2,6,329,62,"39,40,41,42",9
1736,ICSI676,L,1,6,329,66,"51,52,53,54",30
1737,ICSI676,L,1,6,329,66,"56,57,58,59",30
-6,ICSI676,L,1,6,329,52,"66,67,68,69",10
-5,ICSI676,L,1,6,329,48,"70,71,72,73",10
1848,ICSI676,T,3,6,329,84,"74,75",19
1689,ISIA104,T,1,5,330,71,"1,2",60
1692,ISIA104,L,1,5,330,52,"3,4",17
1690,ISIA104,L,1,5,330,60,"12,13",18
1693,ISIA104,L,1,5,330,47,"14,15",17
1691,ISIA104,L,1,5,330,48,"28,29",18
1850,ISIA104,T,2,5,330,88,"52,53",10
1680,ISIA103,L,2,4,330,66,"69,70",30
1622,ICSI671,T,1,3,332,92,"18,19",39
1624,ICSI671,L,1,3,332,51,"22,23,24,25",17
1626,ICSI671,L,1,3,332,49,"27,28,29,30",17
1625,ICSI671,L,1,3,332,61,"33,34,35,36",17
1623,ICSI671,T,2,3,332,69,"41,42",39
1627,ICSI671,L,2,3,332,47,"44,45,46,47",17
1628,ICSI671,L,2,3,332,52,"49,50,51,52",17
1549,ICSI506,P,2,1,333,72,"10,11,12,13",40
1554,ICSI506,L,2,1,333,63,"17,18,19,20",16
1605,ICSI509,L,1,2,333,54,"21,22,23,24",18
1553,ICSI506,L,2,1,333,53,"25,26,27,28",16
1607,ICSI509,L,1,2,333,53,"29,30,31,32",17
1606,ICSI509,L,1,2,333,52,"33,34,35,36",18
1603,ICSI509,T,2,2,333,91,"39,40",52
1664,ISIA102,T,2,4,334,87,"3,4",60
1673,ISIA102,L,2,4,334,53,"10,11,12,13",13
1663,ISIA102,T,1,4,334,77,"27,28",60
1670,ISIA102,L,2,4,334,60,"33,34,35,36",13
1671,ISIA102,L,2,4,334,61,"39,40,41,42",13
1665,ISIA102,L,1,4,334,62,"50,51,52,53",14
1666,ISIA102,L,1,4,334,49,"54,55,56,57",14
1667,ISIA102,L,1,4,334,50,"58,59,60,61",14
1668,ISIA102,L,1,4,334,50,"65,66,67,68",13
1669,ISIA102,L,1,4,334,63,"69,70,71,72",13
1672,ISIA102,L,2,4,334,61,"73,74,75,76",13
1695,ISIA106A,T,2,5,335,87,"15,16",31
1710,ISIA109,T,1,6,335,68,"17,18",52
